Station_Name,Latitude_N,Longitude_W,Date,Time,Temperature,Salinity,pCO2SW_Uatm,CO2SWQF_WHOTS,pCO2Air_Uatm,Doxy_Umolkg,DoxyQF,QF_BATS,Depth_m,Pressure_db,DIC_Umolkg,Alk_Umolkg,Nitrate_Nitrite_Umolkg,Nitr_Umolkg,Phos_Umolkg,Sil_Umolkg
ALOHA_1000200101,22.75,-158,01/08/1998,15:45,1.5021,34.6915,NaN,NaN,NaN,154.5,NaN,NaN,NaN,4812.9,NaN,NaN,35.55,-0.009,2.47,NaN
ALOHA_1000200102,22.75,-158,01/08/1998,15:50,1.4939,34.6902,NaN,NaN,NaN,152,NaN,NaN,NaN,4601.5,NaN,NaN,35.66,-0.009,2.47,NaN
ALOHA_1000200103,22.75,-158,01/08/1998,15:52,1.4847,34.6899,NaN,NaN,NaN,151.8,NaN,NaN,NaN,4500.6,2324.8,2417,NaN,-0.009,2.48,NaN
ALOHA_1000200104,22.75,-158,01/08/1998,15:55,1.4765,34.6895,NaN,NaN,NaN,150.7,NaN,NaN,NaN,4399.9,NaN,NaN,35.83,-0.009,2.49,NaN
ALOHA_1000200105,22.75,-158,01/08/1998,15:59,1.4632,34.6886,NaN,NaN,NaN,150.4,NaN,NaN,NaN,4198.7,NaN,NaN,35.83,-0.009,2.49,NaN
ALOHA_1000200106,22.75,-158,01/08/1998,16:04,1.4602,34.6868,NaN,NaN,NaN,146.7,NaN,NaN,NaN,4000.7,NaN,NaN,36.1,-0.009,2.51,NaN
ALOHA_1000200107,22.75,-158,01/08/1998,16:08,1.4612,34.685,NaN,NaN,NaN,143.6,NaN,NaN,NaN,3800.2,NaN,NaN,36.49,-0.009,2.52,NaN
ALOHA_1000200108,22.75,-158,01/08/1998,16:12,1.4811,34.6816,NaN,NaN,NaN,138.2,NaN,NaN,NaN,3600.2,NaN,NaN,36.58,-0.009,2.55,NaN
ALOHA_1000200109,22.75,-158,01/08/1998,16:16,1.5033,34.6782,NaN,NaN,NaN,133.9,NaN,NaN,NaN,3401.4,NaN,NaN,37.05,-0.009,2.58,NaN
ALOHA_1000200110,22.75,-158,01/08/1998,16:20,1.5353,34.673,NaN,NaN,NaN,128.1,NaN,NaN,NaN,3200.9,NaN,NaN,37.06,-0.009,2.61,NaN
ALOHA_1000200111,22.75,-158,01/08/1998,16:25,1.5737,34.6678,NaN,NaN,NaN,121.8,NaN,NaN,NaN,3002.8,NaN,NaN,37.59,-0.009,2.62,NaN
ALOHA_1000200112,22.75,-158,01/08/1998,16:29,1.6356,34.6604,NaN,NaN,NaN,115.4,NaN,NaN,NaN,2805,NaN,NaN,38.13,-0.009,2.67,NaN
ALOHA_1000200113,22.75,-158,01/08/1998,16:34,1.7112,34.6533,NaN,NaN,NaN,110.2,NaN,NaN,NaN,2600.2,NaN,NaN,38.34,-0.009,2.74,NaN
ALOHA_1000200114,22.75,-158,01/08/1998,16:38,1.8197,34.6441,NaN,NaN,NaN,103.6,NaN,NaN,NaN,2400.1,NaN,NaN,38.94,-0.009,2.74,NaN
ALOHA_1000200115,22.75,-158,01/08/1998,16:42,1.9706,34.6314,NaN,NaN,NaN,95.3,NaN,NaN,NaN,2203.6,NaN,NaN,NaN,-0.009,NaN,NaN
ALOHA_1000200116,22.75,-158,01/08/1998,16:47,2.2173,34.6139,NaN,NaN,NaN,86.7,NaN,NaN,NaN,2000.9,NaN,NaN,39.92,-0.009,2.83,NaN
