Station_Name,Latitude_N,Longitude_W,Date,Temperature,Salinity,Pressure_db,DIC_Umolkg,Alk_Umolkg,Phos_Umolkg,Sil_Umolkg
HOT_1,22.75,-158,10/31/1988,26.283,35.186,30,1963.91,2319.5,0.08,0.71
HOT_2,22.75,-158,12/02/1988,25.659,34.984,30,1958.94,2304.9,0.09,0.99
HOT_3,22.75,-158,01/08/1989,24.61,35.028,30,1963.77,2305,0.07,0.93
HOT_4,22.75,-158,02/26/1989,23.479,34.883,30,1957.8,2295.5,0.09,0.88
HOT_5,22.75,-158,03/27/1989,24.278,34.735,30,1946.33,2283,0.12,2.01
HOT_6,22.75,-158,05/18/1989,23.87,35.019,30,1972.9,2306.7,0.09,1.42
HOT_7,22.75,-158,06/24/1989,25.755,34.6,30,1939,2275,0.14,0.92
HOT_8,22.75,-158,07/29/1989,25.358,34.949,30,1965.65,2301.8,0.1,1.49
HOT_9,22.75,-158,08/24/1989,26.202,34.675,30,1949,2285.4,0.11,1.75
HOT_10,22.75,-158,09/22/1989,26.33,34.775,30,1944.9,2287.1,0.07,0.9
HOT_11,22.75,-158,10/18/1989,26.136,34.892,30,1953.05,2286,0.06,1.15
HOT_12,22.75,-158,11/27/1989,25.142,35.013,30,1960.2,2301.8,0.08,1.14
HOT_13,22.75,-158,01/05/1990,23.982,35.1,30,1965.9,2313,0.07,1.38
HOT_14,22.75,-158,02/15/1990,23.874,34.85,30,1951.47,2286.3,0.11,0.75
HOT_15,22.75,-158,03/19/1990,23.237,34.842,30,1965.55,2303,0.13,1.29
HOT_16,22.75,-158,04/13/1990,23.435,34.95,30,1973.17,2306.8,0.11,1.08
HOT_17,22.75,-158,05/09/1990,23.835,34.979,30,1964.9,2297.6,0.09,1
HOT_18,22.75,-158,06/13/1990,24.667,35.035,30,1962.93,2309.3,0.09,0.89
HOT_19,22.75,-158,07/25/1990,25.601,34.91,30,1948.73,2291.7,0.11,0.83
HOT_20,22.75,-158,09/14/1990,26.399,34.998,30,1966.54,2304.2,0.07,1.04
HOT_21,22.75,-158,11/19/1990,NaN,NaN,30,NaN,NaN,NaN,NaN
HOT_22,22.75,-158,12/18/1990,23.923,35.23,30,1979.3,2320,0.06,1.22
HOT_23,22.75,-158,02/03/1991,23.302,35.117,30,1971.93,2307.3,0.08,0.76
HOT_24,22.75,-158,03/07/1991,23.087,35.11,30,1979.25,2313.7,0.08,1.44
HOT_25,22.75,-158,04/10/1991,23.433,34.935,30,1967.15,2300,0.09,1.31
HOT_26,22.75,-158,05/08/1991,23.985,34.916,30,1965.53,2297.8,0.1,1.38
HOT_27,22.75,-158,06/05/1991,24.605,34.966,30,1966.15,2305,0.08,1.06
HOT_28,22.75,-158,07/10/1991,25.496,34.856,30,1955.3,2300,0.12,1.47
HOT_29,22.75,-158,08/10/1991,25.957,34.918,30,1960.1,2301.7,0.06,1.14
HOT_30,22.75,-158,09/18/1991,26.341,35.025,30,1962.15,2305.5,0.06,1.36
HOT_31,22.75,-158,10/21/1991,26.705,34.764,30,1944.1,2289.5,0.08,1.39
HOT_32,22.75,-158,12/07/1991,25.7,34.917,30,1955.75,2297.5,0.1,1.28
HOT_33,22.75,-158,01/05/1992,24.214,35.006,30,1967.97,2306,0.08,1.6
HOT_34,22.75,-158,02/15/1992,23.014,35.066,30,1974.7,2307,0.09,1.95
HOT_35,22.75,-158,03/06/1992,23.834,34.889,30,1960.9,2294,0.13,1.16
