Station_Name,Latitude_N,Longitude_W,Date,Time,Temperature,Salinity,pCO2SW_Uatm,CO2SWQF_WHOTS,pCO2Air_Uatm,Doxy_Umolkg,DoxyQF
WHOTS_158W_23N,22.773,-157.921,06/05/2008,04:58,25.388,34.902,373.9,2,378.7,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/05/2008,05:28,25.367,34.896,369.7,2,379.9,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/05/2008,05:58,25.357,34.893,368.7,2,379.7,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/05/2008,06:28,25.328,34.887,367.7,2,380,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/05/2008,06:58,25.285,34.875,367.5,2,380.1,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/05/2008,07:28,25.278,34.871,367.3,2,380,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/05/2008,07:58,25.286,34.875,367.3,2,380,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/05/2008,08:28,25.298,34.884,367.4,2,380.1,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/05/2008,09:16,25.308,34.897,367.3,2,378.9,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/05/2008,12:16,25.345,34.933,367.5,2,378.7,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/05/2008,15:16,25.299,34.933,366.7,2,378.8,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/05/2008,18:16,25.3,34.933,366.6,2,379.4,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/05/2008,21:16,25.325,34.929,367.8,2,379.5,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/06/2008,00:16,25.459,34.931,369.8,2,378.8,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/06/2008,03:16,25.472,34.937,368.8,2,378,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/06/2008,06:16,25.395,34.937,368,2,378.5,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/06/2008,09:16,25.388,34.938,367.7,2,378.9,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/06/2008,12:16,25.389,34.932,367.1,2,378.5,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/06/2008,15:16,25.33,34.919,366.8,2,378.7,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/06/2008,18:16,25.319,34.916,367,2,379,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/06/2008,21:16,25.418,34.917,369.1,2,378.7,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/07/2008,00:17,25.492,34.917,372.7,2,379.4,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/07/2008,03:17,25.505,34.918,372.5,2,379.2,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/07/2008,06:17,25.398,34.909,371.6,2,379.7,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/07/2008,09:17,25.32,34.892,370.8,2,380.1,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/07/2008,12:17,25.271,34.892,371.2,2,379.7,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/07/2008,15:17,25.286,34.937,370.6,2,379.9,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/07/2008,18:17,25.337,34.999,370.6,2,380.3,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/07/2008,21:17,25.387,35.002,371,2,380.3,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/08/2008,00:17,25.498,35.003,372.3,2,379.7,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/08/2008,03:17,25.512,34.996,371.9,2,379.3,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/08/2008,06:17,25.422,34.993,378.4,2,379.9,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/08/2008,09:17,25.376,35.003,372.3,2,380.3,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/08/2008,12:17,25.345,35.004,370.9,2,379.9,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/08/2008,15:17,25.307,34.998,371.2,2,379.8,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/08/2008,18:17,25.294,34.981,371.3,2,380.2,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/08/2008,21:17,25.324,34.971,372.2,2,380,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/09/2008,00:17,25.359,34.959,372.7,2,379.8,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/09/2008,03:17,25.343,34.965,378.9,2,379.1,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/09/2008,06:17,25.316,34.976,372.2,2,379.2,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/09/2008,09:17,25.295,34.973,371.4,2,379.3,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/09/2008,12:17,25.254,34.968,371.4,2,379.2,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/09/2008,15:17,25.216,34.976,372.5,2,379.2,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/09/2008,18:17,25.228,34.974,373.6,2,379.8,NaN,NaN
WHOTS_158W_23N,22.773,-157.921,06/09/2008,21:17,25.24,34.997,372.9,2,379.4,NaN,NaN
